d000.s00000.t00000 bn:00106124a
d000.s00000.t00001 bn:00002179n
d000.s00001.t00000 bn:00082536v
d000.s00001.t00001 bn:00083294v
d000.s00001.t00002 bn:00030721n
d000.s00001.t00003 bn:00030618n
d000.s00002.t00000 bn:00007011n
d000.s00003.t00000 bn:00000435n
d000.s00003.t00001 bn:00030623n
d000.s00003.t00002 bn:00000690n
d000.s00003.t00003 bn:00065538n
d000.s00004.t00000 bn:00002179n
d000.s00004.t00001 bn:00065106n
d000.s00005.t00000 bn:00030721n
d000.s00006.t00000 bn:00082705v
d000.s00006.t00001 bn:00060464n
d000.s00007.t00000 bn:00099557a
d000.s00007.t00001 bn:00087802v
d000.s00008.t00000 bn:00007047n
d000.s00008.t00001 bn:00030618n
d000.s00008.t00002 bn:00032121n
d000.s00008.t00003 bn:00081568n
d000.s00008.t00004 bn:00046568n
d000.s00009.t00000 bn:00091135v
d000.s00010.t00000 bn:00046191n
d000.s00010.t00001 bn:00051154n
d000.s00010.t00002 bn:00082844v
d000.s00010.t00003 bn:00029876n
d000.s00011.t00000 bn:00091037v
d000.s00011.t00001 bn:00013379n
d000.s00011.t00002 bn:00030618n
d000.s00011.t00003 bn:00018661n
d000.s00011.t00004 bn:00089240v
d000.s00011.t00005 bn:00107267a
d000.s00011.t00006 bn:00017099n
d000.s00011.t00007 bn:00000127n
d000.s00011.t00008 bn:00029416n
d000.s00012.t00000 bn:00085651v
d000.s00012.t00001 bn:00091493v
d000.s00012.t00002 bn:00116085r
d000.s00012.t00003 bn:00092379v
d000.s00013.t00000 bn:00095375v
d000.s00013.t00001 bn:00030618n
d000.s00014.t00000 bn:00102277a
d000.s00014.t00001 bn:00105848a
d000.s00014.t00002 bn:00009904n
d000.s00015.t00000 bn:00017099n
d000.s00015.t00001 bn:00000127n
d000.s00015.t00002 bn:00021286n
d000.s00016.t00000 bn:00085450v
d000.s00016.t00001 bn:00046996n
d000.s00016.t00002 bn:00072943n
d000.s00017.t00000 bn:00046999n
d000.s00017.t00001 bn:00082481v
d000.s00017.t00002 bn:00096474a
d000.s00017.t00003 bn:00022995n
d000.s00018.t00000 bn:00082844v
d000.s00018.t00001 bn:00084904v
d000.s00018.t00002 bn:00021286n
d000.s00018.t00003 bn:00062759n
d000.s00019.t00000 bn:00092103v
d000.s00020.t00000 bn:00044415n
d000.s00020.t00001 bn:00061054n
d000.s00021.t00000 bn:00059099n
d000.s00021.t00001 bn:00055609n
d000.s00021.t00002 bn:00036512n
d000.s00021.t00003 bn:00080813n
d000.s00021.t00004 bn:00089240v
d000.s00022.t00000 bn:00099475a
d000.s00023.t00000 bn:00042043n
d000.s00023.t00001 bn:00043484n
d000.s00023.t00002 bn:00059918n
d000.s00023.t00003 bn:00090804v
d000.s00024.t00000 bn:00034394n
d000.s00024.t00001 bn:00061450n
d000.s00025.t00000 bn:00082705v
d000.s00025.t00001 bn:00034394n
d000.s00025.t00002 bn:00092816v
d000.s00025.t00003 bn:00084079v
d000.s00026.t00000 bn:00014561n
d000.s00027.t00000 bn:00014561n
d000.s00027.t00001 bn:00084848v
d000.s00027.t00002 bn:00096474a
d000.s00028.t00000 bn:00014561n
d000.s00028.t00001 bn:00087128v
d000.s00028.t00002 bn:00018756n
d000.s00029.t00000 bn:00082530v
d000.s00030.t00000 bn:00010407n
d000.s00031.t00000 bn:00074977n
d000.s00031.t00001 bn:00103716a
d000.s00032.t00000 bn:00014561n
d000.s00032.t00001 bn:00027523n
d000.s00033.t00000 bn:00027451n
d000.s00033.t00001 bn:00005516n
d000.s00033.t00002 bn:00034394n
d000.s00033.t00003 bn:00030618n
d000.s00034.t00000 bn:00116085r
d000.s00034.t00001 bn:00061898n
d000.s00034.t00002 bn:00030844n
d000.s00035.t00000 bn:00030618n
d000.s00035.t00001 bn:00055644n
d000.s00036.t00000 bn:00029239n
d000.s00036.t00001 bn:00022272n
d000.s00036.t00002 bn:00083834v
d000.s00037.t00000 bn:00030618n
d000.s00038.t00000 bn:00068799n
d000.s00039.t00000 bn:00115274r
d000.s00039.t00001 bn:00055644n
d000.s00039.t00002 bn:00114626r
d000.s00039.t00003 bn:00030618n
d000.s00040.t00000 bn:00082705v
d000.s00040.t00001 bn:00082481v
d000.s00040.t00002 bn:00091493v
d000.s00041.t00000 bn:00085261v
d000.s00041.t00001 bn:00022995n
d000.s00041.t00002 bn:00085644v
d000.s00041.t00003 bn:00000667n
d000.s00041.t00004 bn:00015795n
d000.s00042.t00000 bn:00082705v
d000.s00042.t00001 bn:00092816v
d000.s00043.t00000 bn:00014091n
d000.s00043.t00001 bn:00046568n
d000.s00043.t00002 bn:00085644v
d000.s00044.t00000 bn:00092816v
d000.s00044.t00001 bn:00097846a
d000.s00044.t00002 bn:00109211a
d000.s00045.t00000 bn:00021286n
d000.s00045.t00001 bn:00066028n
d000.s00045.t00002 bn:00080115n
d000.s00045.t00003 bn:00014407n
d000.s00045.t00004 bn:00099557a
d000.s00046.t00000 bn:00102049a
d000.s00046.t00001 bn:00079675n
d000.s00047.t00000 bn:00028795n
d000.s00047.t00001 bn:00082857v
d000.s00047.t00002 bn:00081568n
d000.s00048.t00000 bn:00046568n
d000.s00049.t00000 bn:00044415n
d000.s00049.t00001 bn:00014710n
d000.s00049.t00002 bn:00034394n
d000.s00049.t00003 bn:00030618n
d000.s00050.t00000 bn:00112990a
d000.s00050.t00001 bn:00030618n
d000.s00050.t00002 bn:00044415n
d000.s00050.t00003 bn:00046568n
d000.s00051.t00000 bn:00066489n
d000.s00051.t00001 bn:00044415n
d000.s00052.t00000 bn:00097433a
d000.s00052.t00001 bn:00055644n
d000.s00053.t00000 bn:00007011n
d000.s00053.t00001 bn:00107786a
d000.s00053.t00002 bn:00081593n
d000.s00054.t00000 bn:00034394n
d000.s00054.t00001 bn:00084079v
d000.s00055.t00000 bn:00082199v
d000.s00055.t00001 bn:00013379n
d000.s00055.t00002 bn:00082857v
d000.s00055.t00003 bn:00081568n
d000.s00055.t00004 bn:00107786a
d000.s00055.t00005 bn:00030618n
d000.s00056.t00000 bn:00106554a
d000.s00056.t00001 bn:00032645n
d000.s00056.t00002 bn:00073801n
