d000.s00000.t00000 bn:00058442n
d000.s00001.t00000 bn:00046516n
d000.s00002.t00000 bn:00026301n
d000.s00002.t00001 bn:00074985n
d000.s00003.t00000 bn:00053867n
d000.s00004.t00000 bn:00056037n
d000.s00005.t00000 bn:00074009n
d000.s00006.t00000 bn:00033963n
d000.s00007.t00000 bn:00033963n
d000.s00008.t00000 bn:00035909n
d000.s00009.t00000 bn:00046665n
d000.s00010.t00000 bn:00046665n
d000.s00011.t00000 bn:00062167n
d000.s00012.t00000 bn:00029900n
d000.s00013.t00000 bn:00001127n
d000.s00014.t00000 bn:00066084n
d000.s00015.t00000 bn:00077727n
d000.s00016.t00000 bn:00005886n
d000.s00017.t00000 bn:00030989n
d000.s00018.t00000 bn:00005016n
d000.s00019.t00000 bn:00044531n
d000.s00020.t00000 bn:00049864n
d000.s00021.t00000 bn:00049864n
d000.s00022.t00000 bn:00033672n
d000.s00023.t00000 bn:00067458n
d000.s00024.t00000 bn:00002764n
d000.s00025.t00000 bn:00003625n
d000.s00026.t00000 bn:00031545n
d000.s00027.t00000 bn:00036707n
d000.s00028.t00000 bn:00066577n
d000.s00029.t00000 bn:00066577n
d000.s00030.t00000 bn:00008336n
d000.s00031.t00000 bn:00052052n
d000.s00032.t00000 bn:00015675n
d000.s00033.t00000 bn:00031485n
d000.s00034.t00000 bn:00031485n
d000.s00035.t00000 bn:00031485n
d000.s00036.t00000 bn:00068407n
d000.s00037.t00000 bn:00055344n
d000.s00038.t00000 bn:00001005n
d000.s00039.t00000 bn:00001005n
d000.s00040.t00000 bn:00065265n
d000.s00041.t00000 bn:00000654n
d000.s00042.t00000 bn:00000654n
d000.s00043.t00000 bn:00006564n
d000.s00044.t00000 bn:00064570n
d000.s00045.t00000 bn:00005136n
d000.s00046.t00000 bn:00026061n
d000.s00047.t00000 bn:00007366n
d000.s00048.t00000 bn:00077090n
d000.s00049.t00000 bn:00013809n
d000.s00050.t00000 bn:00065342n
d000.s00051.t00000 bn:00048558n
d000.s00052.t00000 bn:00071206n
